Local Time,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-02-01 12:00:00,171.0,0.17916796144234204,6.3336340220191065,0.06616799583333334,88.8,71.0,30.332685043548842,79,0.0,1012,59,20.3,2.8,2.33
2023-02-01 13:00:00,161.0,0.19101113173866477,6.820836639097501,0.07518029166666668,80.0,64.0,31.83707426716199,75,0.0,1011,55,21.7,3.4,3.0
2023-02-01 17:00:00,163.0,0.2061351802927526,11.351820977926554,0.07270541250000001,81.3,65.0,35.93041238722567,70,0.0,1010,65,21.9,1.6,2.66
2023-02-01 18:00:00,172.0,0.21189672259907175,14.957120344306661,0.0575759625,90.0,72.0,37.189901039552964,79,0.0,1010,73,21.2,0.0,2.33
2023-02-01 19:00:00,173.0,0.21765826490539092,18.51369944897893,0.04249320833333334,91.3,73.0,38.48437548777822,87,0.0,1011,81,20.5,0.0,2.0
2023-02-01 20:00:00,156.0,0.21685805069617994,18.17265761702405,0.03548883333333334,75.0,60.0,36.735085692879224,91,0.0,1011,82,20.4,0.0,2.0
2023-02-01 21:00:00,137.0,0.21605783648696894,17.880336046777018,0.028484458333333337,61.3,49.0,34.98579589798021,95,0.0,1012,82,20.3,0.0,2.0
2023-02-01 22:00:00,123.0,0.2152576222777579,17.539294214822142,0.021480083333333337,55.0,44.0,33.2365061030812,100,0.0,1013,82,20.2,0.0,2.0
2023-02-01 23:00:00,115.0,0.2292613709389504,15.931525578463448,0.020873037500000004,51.3,41.0,32.18693222614179,100,0.0,1013,83,20.0,0.0,1.66
2023-02-02 00:00:00,107.0,0.24334514102106392,14.275036680396912,0.020219295833333335,47.5,38.0,31.137358349202387,100,0.0,1013,84,19.9,0.0,1.33
2023-02-02 01:00:00,100.0,0.2573488896822564,12.667268044038213,0.01961225,43.8,35.0,30.087784472262978,100,0.0,1013,86,19.7,0.0,1.0
2023-02-02 02:00:00,107.0,0.2663112888254195,11.69286280988143,0.018818420833333332,47.5,38.0,27.183963412730623,100,0.0,1013,86,19.5,0.0,1.0
2023-02-02 03:00:00,121.0,0.27535370938950376,10.718457575724644,0.0180712875,53.8,43.0,24.245156557300284,100,0.25,1013,87,19.4,0.0,1.0
2023-02-02 04:00:00,123.0,0.284396129953588,9.744052341567857,0.017277458333333336,55.0,44.0,21.34133549776793,100,1.0,1013,87,19.2,0.0,1.0
2023-02-02 05:00:00,112.0,0.29247829346661913,10.085094173522732,0.015736495833333336,50.0,40.0,21.446292885461865,100,1.5,1013,88,19.3,0.0,0.66
2023-02-02 06:00:00,126.0,0.30056045697965017,10.377415743769768,0.0141488375,56.3,45.0,21.58623606905379,100,1.0,1014,88,19.4,0.0,0.33
2023-02-02 07:00:00,126.0,0.30872264191360227,10.718457575724644,0.012607875000000001,56.3,45.0,21.69119345674773,100,0.5,1015,89,19.5,0.6,0.8
2023-02-02 08:00:00,151.0,0.2993601356658337,10.085094173522732,0.016343541666666666,70.0,56.0,21.79615084444167,100,0.5,1015,87,20.0,0.7,0.66
2023-02-02 09:00:00,165.0,0.28999762941806495,9.403010509612983,0.020079208333333334,83.8,67.0,21.936094028033594,100,0.5,1016,85,20.5,1.1,1.33
2023-02-02 10:00:00,189.0,0.2806351231702963,8.769647107411071,0.023814875000000003,106.3,85.0,22.04105141572753,100,0.5,1017,84,21.0,1.6,2.0
2023-02-02 11:00:00,189.0,0.27071246697608,11.205660192803036,0.026616625000000005,106.3,85.0,29.493025941997313,100,0.5,1016,81,21.3,2.1,2.0
2023-02-02 20:00:00,173.0,0.26663137450910385,28.111591005423268,0.0113470875,91.3,73.0,50.274588705397555,100,0.0,1015,90,21.4,0.0,1.2
2023-02-02 21:00:00,163.0,0.2806351231702963,26.942304724435125,0.011066912500000001,81.3,65.0,46.286207973027814,100,0.0,1015,90,21.3,0.0,1.2
2023-02-02 22:00:00,157.0,0.2947188932524099,25.82173870515482,0.010740041666666669,76.3,61.0,42.332813036556054,100,0.5,1016,90,21.2,0.0,1.2
2023-02-02 23:00:00,129.0,0.3202457265262406,24.360130853919642,0.010413170833333334,57.5,46.0,39.079134018043895,100,0.5,1015,91,21.0,0.0,0.33
2023-02-03 00:00:00,134.0,0.34577255980007143,22.898523002684463,0.010132995833333333,60.0,48.0,35.790469203633755,100,0.5,1015,91,20.8,0.0,0.66
2023-02-03 01:00:00,134.0,0.3712993930739022,21.436915151449288,0.009806125,60.0,48.0,32.53679018512159,100,0.0,1015,92,20.6,0.0,1.0
2023-02-03 02:00:00,121.0,0.3721796287040343,20.121468085337625,0.010273083333333334,53.8,43.0,31.732116879468048,100,0.0,1014,92,20.6,0.0,1.0
2023-02-03 03:00:00,139.0,0.3731398857550875,18.854741280933805,0.010740041666666669,62.5,50.0,30.892457777916523,100,0.5,1014,93,20.5,0.0,1.0
2023-02-03 04:00:00,131.0,0.3741001428061406,17.539294214822142,0.011207000000000002,58.8,47.0,30.087784472262978,100,0.0,1014,93,20.5,0.0,1.0
2023-02-03 05:00:00,134.0,0.3522542948946804,16.711049765788875,0.011673958333333333,60.0,48.0,28.79331002403771,100,0.0,1014,93,20.4,0.0,1.33
2023-02-03 06:00:00,134.0,0.33048846840414137,15.931525578463448,0.012140916666666668,60.0,48.0,27.533821371710427,100,0.0,1015,92,20.3,0.0,1.66
2023-02-03 07:00:00,134.0,0.30872264191360227,15.10328112943018,0.012607875000000001,60.0,48.0,26.239346923485158,100,0.0,1016,92,20.2,0.6,2.0
2023-02-03 08:00:00,118.0,0.27191278828989646,14.275036680396912,0.015082754166666667,52.5,42.0,23.89529859832048,100,0.0,1016,90,20.3,0.8,1.33
2023-02-03 09:00:00,110.0,0.2351829560871117,13.49551249307148,0.01760432916666667,48.8,39.0,21.58623606905379,100,0.5,1016,89,20.5,1.1,0.66
2023-02-03 10:00:00,107.0,0.19845312388432704,12.667268044038213,0.020079208333333334,47.5,38.0,19.24218774388911,100,0.5,1017,88,20.6,1.6,0.8
2023-02-03 11:00:00,112.0,0.2082957586576223,15.931525578463448,0.018211375000000002,50.0,40.0,28.23353728967003,100,0.5,1016,90,20.7,2.1,0.33
2023-02-03 12:00:00,134.0,0.21805837200999645,19.147062851180838,0.016343541666666666,60.0,48.0,37.189901039552964,100,0.5,1015,92,20.9,2.4,0.66
2023-02-03 13:00:00,107.0,0.2279010067832917,22.41132038560607,0.014475708333333335,47.5,38.0,46.18125058533388,100,0.5,1014,95,21.0,2.2,1.0
2023-02-03 14:00:00,93.0,0.2463859550160657,24.50629163904316,0.01400875,40.0,32.0,49.22501482845815,100,0.0,1013,94,21.0,1.8,0.66
2023-02-03 15:00:00,80.0,0.26495092466976083,26.64998315418809,0.013541791666666669,32.5,26.0,52.233793275684455,100,0.0,1013,94,21.0,1.3,0.33
2023-02-03 21:00:00,87.0,0.34881337379507316,26.308941322233213,0.011814045833333333,36.3,29.0,24.839915087565945,100,0.0,1014,97,19.9,0.0,0.66
2023-02-03 22:00:00,110.0,0.3741001428061406,23.38572561976286,0.013074833333333336,48.8,39.0,19.59204570286892,100,0.0,1014,97,19.7,0.0,1.0
2023-02-03 23:00:00,82.0,0.34897341663691545,20.608670702416017,0.013868662500000002,33.8,27.0,18.08765647925577,100,0.0,1014,96,19.6,0.0,1.33
2023-02-04 00:00:00,76.0,0.32392671188861116,17.880336046777018,0.014615795833333335,30.0,24.0,16.548281459744636,100,0.0,1013,96,19.6,0.0,1.66
2023-02-04 01:00:00,82.0,0.29888000714030705,15.10328112943018,0.015409625,33.8,27.0,15.043892236131489,100,0.0,1013,95,19.5,0.0,2.0
2023-02-04 02:00:00,69.0,0.2697522099250268,13.787834063318519,0.0155497125,26.3,21.0,14.344176318171886,100,0.0,1013,96,19.4,0.0,2.0
2023-02-04 03:00:00,72.0,0.24062441270974652,12.521107258914697,0.015736495833333336,27.5,22.0,13.644460400212282,100,0.0,1012,96,19.3,0.0,2.0
