,AQI,PM25,PM10,O3,CO,SO2,NO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-06-07,121,38.523809523809526,48.17619047619047,0.07672125416666667,0.17604712602641914,23.79034121062654,26.308941322233213,56.666666666666664,0.10714285714285714,1003.8095238095239,71.95238095238095,30.876190476190477,1.3904761904761904,1.6023809523809522
2023-06-08,124,45.0,56.271428571428565,0.07658116666666667,0.13543625490896108,36.735085692879224,25.480696873199943,58.95238095238095,0.5476190476190477,1002.7142857142857,81.23809523809524,30.25238095238095,1.2142857142857142,1.3561904761904762
2023-06-09,129,19.11764705882353,23.923529411764704,0.07891595833333334,0.13182528828989645,21.34133549776793,20.608670702416017,87.52941176470588,0.9411764705882353,1002.7058823529412,81.94117647058823,28.2,1.411764705882353,1.4917647058823529
2023-06-10,141,51.75,64.7125,0.07765517083333334,0.19761861478043555,42.68267099553586,27.283346556390004,63.125,0.0,1000.5,74.5,30.56875,0.95,1.3025
2023-06-11,137,50.06666666666667,62.61333333333332,0.07751508333333333,0.15316099964298466,32.53679018512159,26.308941322233213,55.53333333333333,0.03333333333333333,999.6,77.33333333333333,31.386666666666667,0.88,1.278
2023-06-12,126,45.733333333333334,57.19333333333332,0.07737499583333333,0.29751964298464834,32.18693222614179,27.770549173468396,79.13333333333334,0.9,1000.1333333333333,80.6,30.726666666666667,0.9,1.558
2023-06-13,112,30.941176470588236,38.7,0.074246375,0.135866370046412,52.82855180595011,27.283346556390004,76.23529411764706,0.6911764705882353,1000.5882352941177,78.6470588235294,29.688235294117646,1.423529411764706,1.2352941176470589
2023-06-14,129,26.94736842105263,33.710526315789465,0.07891595833333334,0.18244883970010714,41.03833858833079,23.87292823684125,84.47368421052632,1.5657894736842106,1003.4736842105264,88.10526315789474,27.478947368421053,0.8315789473684211,1.1210526315789473
2023-06-15,127,22.705882352941178,28.411764705882348,0.078449,0.18116849696536955,26.939062841444763,23.239564834639342,54.1764705882353,0.5294117647058824,1002.8823529411765,82.76470588235294,28.81764705882353,1.5176470588235293,1.1705882352941175
2023-06-16,97,30.541666666666668,38.199999999999996,0.06910983333333334,0.1737365074973224,25.18977304654575,26.455102107356733,73.95833333333333,0.1875,1000.625,73.41666666666667,31.395833333333332,1.1875,0.9787500000000001
2023-06-17,76,22.541666666666668,28.208333333333332,0.05323325000000001,0.08441259639414495,15.743608154091095,22.41132038560607,79.45833333333333,0.4375,1001.7083333333334,73.625,31.59583333333333,1.0791666666666666,1.7733333333333334
2023-06-18,69,18.583333333333332,23.258333333333336,0.05089845833333334,0.08240205819350233,13.994318359192084,21.436915151449288,79.70833333333333,0.3854166666666667,1002.7083333333334,84.5,28.541666666666668,1.1125,1.9066666666666665
2023-06-19,84,26.65291666666667,33.3375,0.058369791666666664,0.0991965539093181,23.79034121062654,22.898523002684463,76.375,0.19791666666666666,1002.1666666666666,85.16666666666667,29.604166666666668,1.1083333333333334,1.30125
2023-06-20,101,24.8,31.026666666666667,0.07111775416666667,0.12386315690824706,23.685383822932604,23.38572561976286,74.86666666666666,0.016666666666666666,1002.2,81.2,30.64,1.1400000000000001,0.962
2023-06-21,135,49.145624999999995,70.65,0.07485342083333335,0.18476946090681898,21.936094028033594,26.308941322233213,79.125,4.171875,1003.4375,85.75,28.4375,1.0875,1.5631249999999999
2023-06-22,112,35.09277777777778,50.40555555555555,0.074246375,0.10854905747947163,32.29188961383573,20.803551749247376,76.88888888888889,0.16666666666666666,1002.3333333333334,77.83333333333333,30.194444444444443,1.4,1.3127777777777778
2023-06-23,71,18.11111111111111,22.65,0.061171541666666676,0.17524691181720814,48.98011425717229,26.942304724435125,72.38888888888889,1.2083333333333333,1002.7777777777778,79.38888888888889,28.511111111111113,1.4222222222222223,1.4372222222222222
2023-06-24,75,22.1,27.65,0.021480083333333337,0.16924530524812567,20.991477538788125,27.13718577126648,89.15,1.6625,1002.55,90.4,26.85,1.2550000000000001,1.155
2023-06-25,59,13.444444444444445,16.83888888888889,0.054634125000000006,0.14723941449482328,38.48437548777822,23.726767451717734,71.16666666666667,1.25,1004.0555555555555,91.16666666666667,26.477777777777778,1.3944444444444446,0.7422222222222223
2023-06-26,75,21.736842105263158,27.19473684210526,0.04529495833333334,0.18773025348089967,34.2860799800206,27.283346556390004,71.10526315789474,0.5394736842105263,1005.0,86.94736842105263,27.5,1.3578947368421053,1.4121052631578948
2023-06-27,73,21.0,26.266666666666666,0.026149666666666672,0.1024274187790075,18.54247182592951,22.41132038560607,80.375,0.875,1006.0,87.20833333333333,27.875,1.1958333333333333,1.6008333333333333
2023-06-28,64,15.916666666666666,19.90833333333333,0.04949758333333333,0.08794354159228847,12.594886523272875,15.590483746508571,63.75,0.8020833333333334,1006.1666666666666,81.58333333333333,29.729166666666668,2.1416666666666666,1.8804166666666668
2023-06-29,68,18.125,22.674999999999997,0.056968916666666675,0.08495274098536237,12.944744482252679,14.616078512351786,40.041666666666664,0.0,1002.9166666666666,77.0,31.316666666666666,2.25,2.1808333333333336
2023-06-30,88,21.263157894736842,26.6,0.06630808333333334,0.1645240414137808,16.093466113070896,11.351820977926554,69.57894736842105,0.0,1000.6315789473684,74.26315789473684,32.77894736842105,1.4157894736842105,1.795263157894737
2023-07-01,114,28.2,35.266666666666666,0.07457324583333333,0.6246472117101036,14.694034277151687,14.031435371857715,67.26666666666667,0.26666666666666666,1000.1333333333333,72.86666666666666,32.82,0.5466666666666666,1.7533333333333334
2023-07-02,127,24.541666666666668,30.704166666666662,0.078449,0.08343233398786148,24.140199169606344,6.820836639097501,54.458333333333336,0.46875,1001.5416666666666,74.70833333333333,31.7375,1.1375,1.5729166666666667
2023-07-03,73,20.875,26.112499999999997,0.07097766666666668,0.0802614851838629,25.539631005525553,5.846431404940715,81.08333333333333,0.22916666666666666,1002.375,78.70833333333333,31.1125,1.0999999999999999,1.4395833333333332
2023-07-04,78,23.714285714285715,29.676190476190467,0.0616385,0.10488807747233131,30.787500390222586,10.86461836084816,66.42857142857143,0.07142857142857142,1002.8095238095239,72.76190476190476,31.300000000000004,2.2047619047619045,1.137142857142857
2023-07-05,99,24.5,30.641666666666666,0.06957679166666667,0.18315760085683683,47.58068242125308,14.616078512351786,68.04166666666667,0.5416666666666666,1003.1666666666666,76.04166666666667,30.95,2.0833333333333335,1.6283333333333332
2023-07-06,85,13.583333333333334,17.504166666666666,0.06537416666666666,0.0729395251695823,25.889488964505357,4.384823553705536,31.958333333333332,0.052083333333333336,1003.5416666666666,71.625,31.825,3.1916666666666664,2.195
2023-07-07,79,2.6666666666666665,3.3541666666666665,0.06350633333333335,0.0642872090324884,18.89232978490931,4.384823553705536,27.291666666666668,0.0,1003.75,68.25,32.63333333333333,2.408333333333333,2.1625
2023-07-08,88,2.3333333333333335,2.954166666666667,0.06630808333333334,0.07075894144948233,16.093466113070896,4.872026170783928,60.25,0.78125,1005.2083333333334,82.125,30.579166666666666,1.8625,1.9979166666666668
2023-07-09,62,2.3333333333333335,2.9499999999999993,0.058369791666666664,0.10253744823277401,22.04105141572753,8.769647107411071,70.25,0.20833333333333334,1005.7916666666666,74.66666666666667,30.020833333333332,1.2041666666666666,1.4654166666666668
2023-07-10,79,13.11125,16.416666666666668,0.06350633333333335,0.07009876472688326,20.991477538788125,4.872026170783928,65.45833333333333,0.010416666666666666,1004.875,72.70833333333333,30.425,1.25,1.9854166666666666
2023-07-11,82,23.416666666666668,29.287499999999998,0.06444025,0.07665051856479829,24.839915087565945,5.359228787862322,31.833333333333332,0.0,1003.7916666666666,72.16666666666667,31.40833333333333,2.9250000000000003,1.8370833333333334
2023-07-12,104,19.375,24.245833333333334,0.07191158333333335,0.08142179578721885,23.79034121062654,6.3336340220191065,46.291666666666664,0.8541666666666666,1003.2916666666666,66.875,32.81666666666667,2.7916666666666665,1.8925
2023-07-13,97,29.916666666666668,37.43333333333333,0.06910983333333334,0.08342233131024634,27.288920800424563,6.3336340220191065,55.5,0.4479166666666667,1002.25,67.25,31.729166666666668,2.1999999999999997,1.8866666666666667
